"codice_1_livello","label_1_livello_it","label_1_livello_en","codice_2_livello","label_2_livello_it","label_2_livello_en","codice_3_livello","label_3_livello_it","label_3_livello_en"
"013","scienze dell'antichità","sciences of antiquity","013.008","archeologia classica","classical archaeology","013.008.001","archeologia greca","greek archaeology"
"013","scienze dell'antichità","sciences of antiquity","013.008","archeologia classica","classical archaeology","013.008.002","archeologia romana","roman archaeology"
"016","arte","art","016.001","arti applicate","applied arts","016.001.001","agemina","damascening"
"016","arte","art","016.001","arti applicate","applied arts","016.001.002","arte vetraria","glass art"
"016","arte","art","016.001","arti applicate","applied arts","016.001.003","bricolage","bricolage"
"016","arte","art","016.001","arti applicate","applied arts","016.001.004","calligrafia","calligraphy"
"016","arte","art","016.001","arti applicate","applied arts","016.001.005","ceramica","ceramic"
"016","arte","art","016.001","arti applicate","applied arts","016.001.006","ceroplastica","ceroplastics"
"016","arte","art","016.001","arti applicate","applied arts","016.001.007","conio","coinage"
"016","arte","art","016.001","arti applicate","applied arts","016.001.008","decorazione","decoration"
"016","arte","art","016.001","arti applicate","applied arts","016.001.009","doratura","gilding"
"016","arte","art","016.001","arti applicate","applied arts","016.001.010","glittica","glyptic art"
"016","arte","art","016.001","arti applicate","applied arts","016.001.011","illustrazione","illustration"
"016","arte","art","016.001","arti applicate","applied arts","016.001.012","intaglio","carving"
"016","arte","art","016.001","arti applicate","applied arts","016.001.013","niello","niello"
"016","arte","art","016.001","arti applicate","applied arts","016.001.014","oreficeria","jewellers' art"
"016","arte","art","016.001","arti applicate","applied arts","016.001.015","stencil","stencil"
"016","arte","art","016.001","arti applicate","applied arts","016.001.016","toreutica","toreutics"
"016","arte","art","016.001","arti applicate","applied arts","016.001.017","culinaria","cookery"
"016","arte","art","016.001","arti applicate","applied arts","016.001.018","arte del cuoio","leather work"
"016","arte","art","016.001","arti applicate","applied arts","016.001.019","arte del legno","wood work"
"016","arte","art","016.001","arti applicate","applied arts","016.001.020","arte dei metalli","metal work"
"016","arte","art","016.001","arti applicate","applied arts","016.001.021","arte del ricamo","embroidery"
"016","arte","art","016.001","arti applicate","applied arts","016.001.022","arte del tessuto","textile art"
"016","arte","art","016.001","arti applicate","applied arts","016.001.023","arte lapidea","stone work"
"016","arte","art","016.001","arti applicate","applied arts","016.001.024","arte del mosaico e del commesso","mosaic"
"016","arte","art","016.001","arti applicate","applied arts","016.001.025","miniatura","illumination / miniature"
"016","arte","art","016.002","design","design","016.002.001","designo industriale","industrial design"
"016","arte","art","016.002","design","design","016.002.002","design di moda","fashion design"
"016","arte","art","016.002","design","design","016.002.003","design del web","web design"
"016","arte","art","016.002","design","design","016.002.004","design della comunicazione","communication design"
"016","arte","art","016.002","design","design","016.002.005","design della luce","light design"
"016","arte","art","016.002","design","design","016.002.006","design di arredi","furniture design"
"016","arte","art","016.002","design","design","016.002.007","design per l'artigianato","craft design"
"016","arte","art","016.003","arti visive","visual arts","016.003.001","arte digitale","digital art"
"016","arte","art","016.003","arti visive","visual arts","016.003.002","arti grafiche","graphic arts"
"016","arte","art","016.003","arti visive","visual arts","016.003.003","cinema","cinema"
"016","arte","art","016.003","arti visive","visual arts","016.003.004","fotografia","photography"
"016","arte","art","016.003","arti visive","visual arts","016.003.005","installation art","installation art"
"016","arte","art","016.003","arti visive","visual arts","016.003.006","performance art","performance art"
"016","arte","art","016.003","arti visive","visual arts","016.003.007","pittura","painting"
"016","arte","art","016.003","arti visive","visual arts","016.003.008","scultura","sculpture"
"016","arte","art","016.003","arti visive","visual arts","016.003.009","disegno","drawing"
"016","arte","art","016.003","arti visive","visual arts","016.003.010","videoarte","video art"
"016","arte","art","016.004","arti dello spettacolo","performing arts","016.004.001","danza","dance"
"016","arte","art","016.004","arti dello spettacolo","performing arts","016.004.002","musica","music"
"016","arte","art","016.004","arti dello spettacolo","performing arts","016.004.003","teatro","theatre"
