codice_1_livello,label_ITA_1_livello,label_ENG_1_livello,label_DEU_1_livello,codice_2_livello,label_ITA_2_livello,label_ENG_2_livello,label_DEU_2_livello
NONE,Nessuna - accesso libero,None - free access,Keine - freier Zugang,,,,
SFA,Autenticazione singolo fattore,Single Factor Authentication,Single-Faktor-Authentifizierung,IDPWD,User ID e Password,User ID and password,Benutzer-ID und Passwort
SFA,Autenticazione singolo fattore,Single Factor Authentication,Single-Faktor-Authentifizierung,SPIDL1,Credenziale SPID Livello 1,SPID (National public system of e-ID) Credential Level 1,SPID (Nationales öffentliches System der e-ID) Berechtigungsnachweis Stufe 1
2FA,Autenticazione a due fattori,Two Factor Authentication,Zwei-Faktor-Authentifizierung,ID OTP,User ID e One Time Password,User ID and One Time Password,Benutzer-ID und Einmal-Passwort
2FA,Autenticazione a due fattori,Two Factor Authentication,Zwei-Faktor-Authentifizierung,SPIDL2,SPID Livello 2,SPID (National public system of e-ID) Level 2,SPID (Nationales öffentliches System der e-ID) Stufe 2
2FAHW,Autenticazione a due fattori hardware,Two Factor Authentication hardware,Zwei-Faktor-Hardware-Authentifizierung,SPIDL3,SPID Livello 3,SPID (National public system of e-ID) Level 3,SPID (Nationales öffentliches System der e-ID) Stufe 3
2FAHW,Autenticazione a due fattori hardware,Two Factor Authentication hardware,Zwei-Faktor-Hardware-Authentifizierung,CNS,Carta nazionale dei servizi (CNS),National service card,Nationale Servicekarte
2FAHW,Autenticazione a due fattori hardware,Two Factor Authentication hardware,Zwei-Faktor-Hardware-Authentifizierung,CIE,Carta d'identità elettronica (CIE),Electronic identity card,Elektronischer Personalausweis (CIE)
MFA,Autenticazione multi-fattore,Multi-factor authentication,Multi-Faktor-Authentifizierung,USERID OTP BIO,"User ID, One Time Password e Biometria","User ID, One Time Password and Biometric","Benutzer-ID, Einmalpasswort und biometrische Daten"
